Identifier (File Name ),Item Title,Item Description,Collection/Book Title,"Collection Area(AC, UA, SCR, RB)","Collection #, Call #, Accession #",Rights/Permissions,Creator,Date of Original,Date Scanned,Scanner (person name),Scanner(equipment type),DPI,"Size (GB, MB, KB)",Language
UA29_010_Image1_aSide.tif,"1941 Boone, N.C.",,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.3 MB,
UA29_010_Image1_bSide.tif,"Snow in Boone, N.C. 1942 5 each",,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.3 MB,
UA29_010_Image2.tif,Men Standing in Snow,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,24.9 MB,
UA29_010_Image3.tif,Cars in Snow on King Street,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,24.8 MB,
UA29_010_Image4.tif,Icicles and Snow,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.0 MB,
UA29_010_Image5.tif,Dixie Stores Front Door,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.3 MB,
UA29_010_Image6.tif,"Snow Storm Boone, N.C. Daniel Boone Hotel sign",,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,24.8 MB,
UA29_010_Image7.tif,Two Women Standing in Snow,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,24.9 MB,
UA29_010_Image8.tif,Carol and Jane (Gene?),,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.0 MB,
UA29_010_Image9.tif,Group Posing in Snow,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.0 MB,
UA29_010_Image10.tif,Two Posing in the Grass,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,25.0 MB,
UA29_010_Image11.tif,ASTC Main Drag,,Mary D. Davis Photographs,UA,UA 29.010,,"Davis, Mary Davis",1941 - 1942,10/26/2020,Adam Sheffield,Epson V600 Photo,600,17.6 MB,
